doc_id,doi,title,lib,class_name,chunk_count
doc_0254,10.1021/acscatal.8b01014,10.1021/acscatal.8b01014,lib1,classA,67
doc_0255,10.1021/acscatal.8b01022,10.1021/acscatal.8b01022,lib1,classA,128
doc_0256,10.1021/acscatal.8b01200,10.1021/acscatal.8b01200,lib1,classA,55
doc_0257,10.1021/acscatal.8b01340,10.1021/acscatal.8b01340,lib1,classA,115
doc_0258,10.1021/acscatal.8b01552,10.1021/acscatal.8b01552,lib1,classA,87
doc_0259,10.1021/acscatal.8b02181,10.1021/acscatal.8b02181,lib1,classA,115
doc_0260,10.1021/acscatal.8b02587,10.1021/acscatal.8b02587,lib1,classA,107
doc_0261,10.1021/acscatal.8b03780,10.1021/acscatal.8b03780,lib1,classA,129
doc_0262,10.1021/acscatal.8b03789,10.1021/acscatal.8b03789,lib1,classA,57
doc_0263,10.1021/acscatal.8b04106,10.1021/acscatal.8b04106,lib1,classA,68
doc_0264,10.1021/acscatal.8b04269,10.1021/acscatal.8b04269,lib1,classA,43
doc_0265,10.1021/acscatal.8b04390,10.1021/acscatal.8b04390,lib1,classA,100
doc_0266,10.1021/acscatal.9b00010,10.1021/acscatal.9b00010,lib1,classA,139
doc_0267,10.1021/acscatal.9b00099,10.1021/acscatal.9b00099,lib1,classA,93
doc_0268,10.1021/acscatal.9b00223,10.1021/acscatal.9b00223,lib1,classA,95
doc_0269,10.1021/acscatal.9b00449,10.1021/acscatal.9b00449,lib1,classA,72
doc_0270,10.1021/acscatal.9b00483,10.1021/acscatal.9b00483,lib1,classA,78
doc_0271,10.1021/acscatal.9b00896,10.1021/acscatal.9b00896,lib1,classA,150
doc_0272,10.1021/acscatal.9b01405,10.1021/acscatal.9b01405,lib1,classA,124
doc_0273,10.1021/acscatal.9b01899,10.1021/acscatal.9b01899,lib1,classA,59
doc_0274,10.1021/acscatal.9b02113,10.1021/acscatal.9b02113,lib1,classA,210
doc_0275,10.1021/acscatal.9b02312,10.1021/acscatal.9b02312,lib1,classA,64
doc_0276,10.1021/acscatal.9b03175,10.1021/acscatal.9b03175,lib1,classA,141
doc_0277,10.1021/acscatal.9b03180,10.1021/acscatal.9b03180,lib1,classA,38
doc_0278,10.1021/acscatal.9b03201,10.1021/acscatal.9b03201,lib1,classA,45
doc_0279,10.1021/acscatal.9b03581,10.1021/acscatal.9b03581,lib1,classA,46
doc_0280,10.1021/acscatal.9b03883,10.1021/acscatal.9b03883,lib1,classA,61
doc_0281,10.1021/acscatal.9b03895,10.1021/acscatal.9b03895,lib1,classA,85
doc_0282,10.1021/acscatal.9b04302,10.1021/acscatal.9b04302,lib1,classA,72
doc_0283,10.1021/acscatal.9b04343,10.1021/acscatal.9b04343,lib1,classA,117
doc_0284,10.1021/acscatal.9b04368,10.1021/acscatal.9b04368,lib1,classA,150
doc_0285,10.1021/acscatal.9b04516,10.1021/acscatal.9b04516,lib1,classA,84
doc_0286,10.1021/acscatal.9b04746,10.1021/acscatal.9b04746,lib1,classA,135
doc_0287,10.1021/acscatal.9b05272,10.1021/acscatal.9b05272,lib1,classA,113
doc_0288,10.1021/acscatal.9b05319,10.1021/acscatal.9b05319,lib1,classA,100
doc_0289,10.1021/acsenergylett.0c00018,10.1021/acsenergylett.0c00018,lib1,classA,88
doc_0290,10.1021/acsenergylett.0c00482,10.1021/acsenergylett.0c00482,lib1,classA,82
doc_0291,10.1021/acsenergylett.0c00637,10.1021/acsenergylett.0c00637,lib1,classA,96
doc_0292,10.1021/acsenergylett.0c00645,10.1021/acsenergylett.0c00645,lib1,classA,156
doc_0293,10.1021/acsenergylett.0c00898,10.1021/acsenergylett.0c00898,lib1,classA,79
doc_0294,10.1021/acsenergylett.0c01266,10.1021/acsenergylett.0c01266,lib1,classA,44
doc_0295,10.1021/acsenergylett.0c01606,10.1021/acsenergylett.0c01606,lib1,classA,83
doc_0296,10.1021/acsenergylett.0c02401,10.1021/acsenergylett.0c02401,lib1,classA,53
doc_0297,10.1021/acsenergylett.0c02665,10.1021/acsenergylett.0c02665,lib1,classA,103
doc_0298,10.1021/acsenergylett.1c00364,10.1021/acsenergylett.1c00364,lib1,classA,66
doc_0299,10.1021/acsenergylett.1c00496,10.1021/acsenergylett.1c00496,lib1,classA,63
doc_0300,10.1021/acsenergylett.1c00612,10.1021/acsenergylett.1c00612,lib1,classA,74
doc_0301,10.1021/acsenergylett.1c00723,10.1021/acsenergylett.1c00723,lib1,classA,57
doc_0302,10.1021/acsenergylett.1c01122,10.1021/acsenergylett.1c01122,lib1,classA,47
doc_0303,10.1021/acsenergylett.1c01513,10.1021/acsenergylett.1c01513,lib1,classA,64
doc_0304,10.1021/acsenergylett.1c01639,10.1021/acsenergylett.1c01639,lib1,classA,68
doc_0305,10.1021/acsenergylett.4c02634,10.1021/acsenergylett.4c02634,lib1,classA,32
doc_0306,10.1021/acsenergylett.4c03091,10.1021/acsenergylett.4c03091,lib1,classA,70
doc_0307,10.1021/acsenergylett.6b00119,10.1021/acsenergylett.6b00119,lib1,classA,78
doc_0308,10.1021/acsenergylett.6b00377,10.1021/acsenergylett.6b00377,lib1,classA,45
